joint_tau_cal_0,joint_tau_cal_1,joint_tau_cal_2,joint_tau_cal_3,joint_tau_cal_4,joint_tau_cal_5,joint_tau_cal_6,joint_tau_cal_7,joint_tau_cal_8,joint_tau_cal_9,joint_tau_cal_10,joint_tau_cal_11,joint_tau_cal_12,joint_tau_cal_13,joint_tau_cal_14,joint_tau_cal_15,joint_tau_est_0,joint_tau_est_1,joint_tau_est_2,joint_tau_est_3,joint_tau_est_4,joint_tau_est_5,joint_tau_est_6,joint_tau_est_7,joint_tau_est_8,joint_tau_est_9,joint_tau_est_10,joint_tau_est_11,joint_tau_est_12,joint_tau_est_13,joint_tau_est_14,joint_tau_est_15,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_8,joint_pos_9,joint_pos_10,joint_pos_12,joint_pos_13,joint_pos_14,joint_pos_target_0,joint_pos_target_1,joint_pos_target_2,joint_pos_target_4,joint_pos_target_5,joint_pos_target_6,joint_pos_target_8,joint_pos_target_9,joint_pos_target_10,joint_pos_target_12,joint_pos_target_13,joint_pos_target_14,joint_vel_3,joint_vel_7,joint_vel_11,joint_vel_15,joint_vel_target_3,joint_vel_target_7,joint_vel_target_11,joint_vel_target_15,
-20.1598,-38.7784,-2.66567,0,20.7482,-37.6672,-2.25066,0.18,-3.551,-9.03006,-1.26959,-1.26,4.20155,-11.7363,-2.87885,-1.53,-19.38,-37.05,-2.82,0.01257,19.89,-35.82,-2.22,0.07542,-3.18,-7.83,-1.47,-1.11873,3.84,-10.56,-3.18,-1.43298,0.249,0.8701,0.0755,-0.2596,0.8528,0.0774,0.2427,0.802,0.0765,-0.1803,0.8655,0.0762,0.2154,0.803069,0.0721072,-0.22502,0.787697,0.0750739,0.236707,0.78455,0.074984,-0.173147,0.843164,0.0723769,-0,-0.04,0.28,0.34,0,0,0,0,
-20.7286,-40.2506,-2.88407,-0.18,21.3941,-38.218,-1.96895,-0.09,-3.8909,-8.80542,-1.10759,-1.035,4.44936,-11.3772,-3.24815,-0.99,-19.95,-38.19,-3.09,-0.07542,20.55,-36.24,-2.25,-0.06285,-3.51,-7.56,-1.35,-1.05588,4.17,-10.08,-3.51,-1.0056,0.2489,0.8643,0.0791,-0.2595,0.8454,0.0806,0.2421,0.7937,0.0793,-0.1799,0.8565,0.0799,0.214202,0.795266,0.0750432,-0.223768,0.779978,0.0779934,0.23539,0.776849,0.077904,-0.172184,0.835138,0.0753114,0.04,0.02,0.23,0.22,0,0,0,0,
-20.9224,-40.2827,-3.20746,0.045,21.65,-39.0537,-1.67224,-0.18,-2.55079,-9.19568,-0.660585,-0.585,4.56216,-10.6281,-3.31744,-0.63,-20.1,-38.22,-3.12,0.07542,20.76,-37.26,-2.04,-0.06285,-2.37,-8.01,-0.9,-0.51537,4.23,-9.42,-3.45,-0.56565,0.2481,0.8567,0.0828,-0.2586,0.8399,0.0831,0.2393,0.7868,0.0814,-0.1789,0.8476,0.0828,0.213004,0.787462,0.0779792,-0.222517,0.77226,0.0809129,0.234074,0.769149,0.080824,-0.171221,0.827111,0.0782459,-0.01,0.04,0.13,0.14,0,0,0,0,
-21.1162,-40.9898,-2.70587,-0.135,22.3409,-38.1646,-2.95054,0.27,-3.1907,-8.71599,-1.15858,-0.18,4.26997,-10.9589,-2.45674,-0.81,-20.25,-38.91,-2.82,-0.10056,21.45,-36.54,-3.06,0.17598,-2.61,-7.5,-1.26,-0.18855,4.02,-9.75,-2.73,-0.81705,0.2473,0.8497,0.0849,-0.2585,0.8307,0.0874,0.238,0.7783,0.0844,-0.1779,0.8396,0.0849,0.211806,0.779659,0.0809152,-0.221265,0.764542,0.0838325,0.232757,0.761448,0.083744,-0.170258,0.819085,0.0811804,0.03,-0.06,0.04,0.18,0,0,0,0,
-20.5,-41.8469,-1.90426,-0.09,22.6268,-37.9954,-2.57884,-0.18,-3.03559,-9.03135,-0.951577,0,4.53275,-10.0899,-2.03104,-0.855,-19.74,-39.54,-2.19,-0.10056,21.78,-36.39,-2.79,-0.10056,-2.58,-7.8,-1.11,-0,4.17,-8.85,-2.25,-0.8799,0.245,0.8428,0.0865,-0.2578,0.823,0.0903,0.2368,0.7709,0.0875,-0.177,0.8305,0.0869,0.210608,0.771855,0.0838512,-0.220014,0.756824,0.086752,0.231441,0.753748,0.086664,-0.169295,0.811058,0.0841149,0.02,0.04,-0,0.19,0,0,0,0,
-21.0238,-40.499,-2.31766,0,21.4727,-37.7362,-2.29713,-0.135,-3.7655,-8.31165,-0.549571,-0.135,3.37057,-10.8408,-1.47033,-0.585,-20.25,-38.55,-2.4,0.01257,20.85,-35.85,-2.58,-0.05028,-3.24,-7.11,-0.78,-0.05028,3.18,-9.51,-1.77,-0.52794,0.2446,0.8344,0.0896,-0.2556,0.8144,0.0929,0.2364,0.7623,0.0899,-0.1747,0.8232,0.0892,0.20941,0.764052,0.0867873,-0.218762,0.749106,0.0896715,0.230124,0.746047,0.0895841,-0.168332,0.803032,0.0870494,-0,0.03,0.03,0.13,0,0,0,0,
-21.1576,-40.4111,-2.40105,0.135,18.8936,-38.8421,-1.26543,-0.225,-3.6854,-9.12195,-0.0125711,-0.27,2.85338,-10.0317,-0.984626,-0.675,-20.49,-38.43,-2.55,0.18855,18.18,-37.02,-1.65,-0.11313,-3.36,-7.86,-0.24,-0.20112,2.58,-8.79,-1.17,-0.59079,0.244,0.8257,0.0929,-0.2496,0.8086,0.0944,0.2354,0.7555,0.092,-0.1725,0.8142,0.0908,0.208212,0.756248,0.0897233,-0.217511,0.741388,0.092591,0.228808,0.738347,0.0925041,-0.167369,0.795005,0.089984,-0.03,0.05,0.06,0.15,0,0,0,0,
-20.9314,-39.4982,-1.79445,0,19.9895,-37.2179,-0.788724,-0.225,-3.50031,-8.16224,0.0144341,0,2.50118,-10.1076,-0.0489232,-0.315,-20.1,-37.59,-2.04,-0.01257,19.2,-35.49,-1.08,-0.13827,-3.09,-7.05,-0.15,-0.03771,2.28,-8.94,-0.48,-0.27654,0.2422,0.8169,0.0949,-0.2498,0.7984,0.096,0.2337,0.7468,0.0945,-0.1711,0.8063,0.0927,0.207014,0.748445,0.0926593,-0.216259,0.73367,0.0955105,0.227491,0.730646,0.0954241,-0.166406,0.786979,0.0929185,-0,0.05,-0,0.07,0,0,0,0,
-19.1902,-38.9753,-1.89285,0,19.6604,-36.8387,-0.477026,0,-2.5352,-8.38756,0.41644,-0.045,2.44897,-9.65852,0.36178,-0.405,-18.66,-36.87,-1.98,-0,18.96,-35.37,-0.69,0,-2.34,-7.2,0.06,-0.01257,2.19,-8.4,-0.03,-0.36453,0.239,0.8077,0.098,-0.2483,0.7905,0.0984,0.2313,0.7391,0.0969,-0.1699,0.7976,0.0945,0.205816,0.740641,0.0955953,-0.215008,0.725952,0.09843,0.226175,0.722946,0.0983441,-0.165443,0.778952,0.095853,-0,0,0.01,0.09,0,0,0,0,
-19.549,-38.5724,-0.836235,0,18.3113,-36.9994,-0.435318,0.18,-2.9651,-7.6679,0.803448,0,2.15679,-9.9745,0.667485,-0.225,-18.72,-36.63,-0.96,-0,17.76,-35.1,-0.87,0.08799,-2.46,-6.54,0.33,-0,1.86,-8.7,0.09,-0.18855,0.2372,0.7996,0.0997,-0.2454,0.782,0.1014,0.2298,0.7305,0.0991,-0.1686,0.7901,0.097,0.204618,0.732838,0.0985313,-0.213756,0.718234,0.101349,0.224858,0.715245,0.101264,-0.16448,0.770926,0.0987875,-0,-0.04,-0,0.05,0,0,0,0,
