joint_tau_cal_0,joint_tau_cal_1,joint_tau_cal_2,joint_tau_cal_3,joint_tau_cal_4,joint_tau_cal_5,joint_tau_cal_6,joint_tau_cal_7,joint_tau_cal_8,joint_tau_cal_9,joint_tau_cal_10,joint_tau_cal_11,joint_tau_cal_12,joint_tau_cal_13,joint_tau_cal_14,joint_tau_cal_15,joint_tau_est_0,joint_tau_est_1,joint_tau_est_2,joint_tau_est_3,joint_tau_est_4,joint_tau_est_5,joint_tau_est_6,joint_tau_est_7,joint_tau_est_8,joint_tau_est_9,joint_tau_est_10,joint_tau_est_11,joint_tau_est_12,joint_tau_est_13,joint_tau_est_14,joint_tau_est_15,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_8,joint_pos_9,joint_pos_10,joint_pos_12,joint_pos_13,joint_pos_14,joint_pos_target_0,joint_pos_target_1,joint_pos_target_2,joint_pos_target_4,joint_pos_target_5,joint_pos_target_6,joint_pos_target_8,joint_pos_target_9,joint_pos_target_10,joint_pos_target_12,joint_pos_target_13,joint_pos_target_14,joint_vel_3,joint_vel_7,joint_vel_11,joint_vel_15,joint_vel_target_3,joint_vel_target_7,joint_vel_target_11,joint_vel_target_15,
-16.7512,-6.99414,31.2277,-0.450279,9.37737,0.493851,19.9895,0.752884,-12.9669,-5.28481,10.0921,-0.681993,20.1669,1.767,32.1903,2.06577,-17.828,-7.81505,31.4694,-0.716338,9.15863,1.82555,18.97,0.944529,-13.8728,-5.5354,8.00159,-0.649421,22.1061,1.96218,34.096,2.02266,0.0743996,-0.591552,0.590498,-0.0769565,-0.566412,0.596403,0.0732642,-0.600981,0.62893,-0.0707472,-0.578208,0.630516,-0.34461,-0.76376,1.36741,0.157064,-0.552605,1.09501,-0.251604,-0.731658,0.878804,0.432616,-0.532958,1.43465,0.252345,-0.000611369,0.34542,-0.000115268,-0.648212,1.50516,-1.01857,4.13143,
-15.6243,-5.6248,30.5372,-0.0721004,9.64554,-0.793596,20.9099,0.54497,-12.305,-5.04096,12.3355,-0.638537,18.4017,1.52986,30.043,2.04957,-16.7435,-6.97873,31.2693,-0.357703,9.39195,0.476427,19.9554,0.753004,-12.9278,-5.34694,10.1746,-0.63664,20.2082,1.75407,32.1474,2.06584,0.0741498,-0.589313,0.588062,-0.0774754,-0.564881,0.595805,0.0721974,-0.598968,0.625798,-0.0719422,-0.577097,0.630471,-0.316581,-0.728476,1.35231,0.163414,-0.584368,1.11891,-0.236037,-0.723993,0.932796,0.387453,-0.538583,1.38208,0.306941,-0.000880151,0.251094,0.000124973,0.16274,1.08906,-1.02598,4.09926,
-14.6147,-4.07243,29.7733,0.28993,10.1819,-1.80917,21.2106,0.344492,-11.8193,-4.94716,14.2787,-0.553963,16.7699,1.30951,27.6891,1.97455,-15.6172,-5.59968,30.51,0.00876301,9.65551,-0.775164,20.8454,0.544595,-12.2778,-5.07998,12.3511,-0.581244,18.4271,1.54901,29.9689,2.04958,0.0739631,-0.588998,0.587748,-0.077772,-0.564959,0.597087,0.0714494,-0.5978,0.624575,-0.0727002,-0.577096,0.631632,-0.291578,-0.691679,1.3309,0.176615,-0.610609,1.12893,-0.224564,-0.720649,0.980984,0.346036,-0.544605,1.32516,0.357856,-1.12809e-05,0.133397,7.63832e-05,0.937716,0.688973,-0.974528,3.94917,
-13.8993,-2.54754,28.3729,0.573162,10.7135,-2.5332,21.3775,0.169777,-11.9004,-4.90111,15.7176,-0.427399,15.6191,0.936174,25.539,1.83845,-14.6126,-3.98419,29.5461,0.351239,10.1834,-1.7361,21.0585,0.294007,-11.796,-5.00016,14.2922,-0.552329,16.785,1.3653,27.5418,1.97127,0.0737785,-0.590234,0.589347,-0.0779385,-0.566535,0.60103,0.0707272,-0.596578,0.624486,-0.0733407,-0.577996,0.634577,-0.273746,-0.6546,1.29882,0.189888,-0.631629,1.13933,-0.227082,-0.718657,1.0178,0.316918,-0.555386,1.2752,0.419011,-0.000134453,0.0506127,0.00657164,1.56533,0.33942,-0.804185,3.68347,
-13.4253,-1.47274,27.6203,0.737555,11.4992,-3.00648,20.6265,0.0433513,-12.2675,-4.7401,16.7098,-0.471634,14.9515,0.442777,23.3704,1.60617,-13.8943,-2.35911,28.1003,0.63921,10.707,-2.42314,21.1759,0.133501,-11.8882,-4.85407,15.5886,-0.40221,15.6161,1.04281,25.3093,1.82115,0.0736619,-0.593084,0.592701,-0.0778511,-0.569449,0.60696,0.0703373,-0.596405,0.625768,-0.0735221,-0.579785,0.63876,-0.262052,-0.631411,1.28434,0.209748,-0.646652,1.12665,-0.236428,-0.714665,1.04336,0.300237,-0.569564,1.22478,0.441203,0.00503304,0.179919,0.103704,1.91631,0.0917356,-0.763349,3.31605,
-13.1881,-0.132424,26.8236,0.934389,11.8815,-2.98585,20.3046,-0.00235801,-12.9194,-4.47877,17.5654,-0.411931,14.9236,0.248806,22.4687,1.42846,-13.4115,-1.26052,27.3189,0.749083,11.5019,-2.85087,20.3594,0.00790324,-12.2537,-4.63655,16.4949,-0.381257,14.948,0.589478,23.0884,1.62157,0.0734289,-0.596958,0.597264,-0.0777758,-0.57338,0.614227,0.0700785,-0.597368,0.628094,-0.0734996,-0.582298,0.643691,-0.256496,-0.602263,1.26964,0.219269,-0.650921,1.12722,-0.253164,-0.709556,1.06757,0.299548,-0.577352,1.20755,0.281,-0.000366975,0.176695,0.134658,2.14978,-0.00508299,-0.647168,2.99158,
-13.2121,0.209922,26.0229,0.925447,12.4459,-2.72345,19.4003,0.00682483,-13.3551,-4.50966,17.356,-0.388754,14.9989,0.0154451,21.3322,1.27971,-13.1622,0.068245,26.511,0.988977,11.8934,-2.83726,20.0683,-0.0401885,-12.8982,-4.39341,17.3202,-0.323334,14.9264,0.405501,22.1793,1.47103,0.0729309,-0.601132,0.602555,-0.0779072,-0.577787,0.62194,0.0696548,-0.599134,0.631228,-0.0735749,-0.585299,0.64902,-0.257747,-0.597842,1.25528,0.23312,-0.64896,1.11242,-0.264462,-0.713097,1.06586,0.301268,-0.58641,1.18471,0.286975,0.000905048,0.172652,0.112345,2.13787,0.0145547,-0.604856,2.67176,
-13.4653,0.615044,25.1163,0.96242,12.659,-2.09381,18.9631,0.063662,-13.9137,-4.34895,16.9077,-0.260279,15.6463,-0.0750765,20.7483,1.25243,-13.1771,0.348743,25.82,1.03812,12.466,-2.55471,19.1319,0.00749047,-13.3275,-4.42122,17.2056,-0.360159,15.0116,0.173114,21.0495,1.30087,0.0721547,-0.604936,0.607883,-0.0782528,-0.582179,0.629208,0.0690591,-0.60123,0.634834,-0.0737964,-0.588521,0.654514,-0.264988,-0.592189,1.24,0.237981,-0.636819,1.10676,-0.279196,-0.711328,1.05982,0.317244,-0.591983,1.17565,0.168516,0.0679056,0.0244949,0.00452773,2.09336,0.195229,-0.496064,2.50938,
-13.7285,0.290947,25.2552,0.9184,12.8115,-1.56089,18.4923,0.186588,-14.3914,-4.29748,16.3447,-0.235864,16.3477,-0.105224,20.7657,1.11796,-13.4311,0.716314,24.9925,1.02405,12.6823,-1.93753,18.7265,0.0701856,-13.886,-4.25237,16.7639,-0.255927,15.6581,0.0765432,20.4933,1.25465,0.0712792,-0.608351,0.61281,-0.0787475,-0.586476,0.63595,0.0683384,-0.60359,0.63866,-0.0741171,-0.591735,0.659695,-0.272473,-0.603578,1.24832,0.241243,-0.628157,1.10254,-0.291861,-0.712527,1.0494,0.334307,-0.595903,1.18095,-5.43154e-05,-0.000461704,0.0124694,0.0583405,1.83675,0.372714,-0.459259,2.29426,
-14.0359,-0.0920263,25.3713,0.716713,12.8124,-1.05795,17.9079,0.218467,-14.5602,-4.30986,15.3723,-0.222604,16.9188,0.0566046,20.5365,1.05799,-13.693,0.340792,25.2649,0.895093,12.8332,-1.46053,18.3212,0.186162,-14.367,-4.20282,16.2252,-0.229339,16.3592,0.0350206,20.6124,1.14701,0.070362,-0.611187,0.616411,-0.0792957,-0.590073,0.64109,0.0676817,-0.606077,0.642002,-0.074417,-0.59477,0.664109,-0.281078,-0.615116,1.25262,0.240632,-0.618793,1.09086,-0.296717,-0.715224,1.02812,0.348446,-0.594726,1.18075,-5.74167e-05,0.0475464,-0.000236212,0.0548,1.43337,0.48448,-0.445445,2.17079,
