obs_angvel_0,obs_angvel_1,obs_angvel_2,obs_gravity_0,obs_gravity_1,obs_gravity_2,obs_command_0,obs_command_1,obs_command_2,obs_dofpos_0,obs_dofpos_1,obs_dofpos_2,obs_dofpos_3,obs_dofpos_4,obs_dofpos_5,obs_dofpos_6,obs_dofpos_7,obs_dofpos_8,obs_dofpos_9,obs_dofpos_10,obs_dofpos_11,obs_dofpos_12,obs_dofpos_13,obs_dofpos_14,obs_dofpos_15,obs_dofvel_0,obs_dofvel_1,obs_dofvel_2,obs_dofvel_3,obs_dofvel_4,obs_dofvel_5,obs_dofvel_6,obs_dofvel_7,obs_dofvel_8,obs_dofvel_9,obs_dofvel_10,obs_dofvel_11,obs_dofvel_12,obs_dofvel_13,obs_dofvel_14,obs_dofvel_15,obs_action_0,obs_action_1,obs_action_2,obs_action_3,obs_action_4,obs_action_5,obs_action_6,obs_action_7,obs_action_8,obs_action_9,obs_action_10,obs_action_11,obs_action_12,obs_action_13,obs_action_14,obs_action_15,
-0.0157833,-0.000652091,-0.0246844,0,0,-1,-0,-0,-0,0.0744804,-0.592359,0.59142,-1.01705,-0.0767853,-0.567038,0.596975,8.07331,0.0735431,-0.601651,0.630049,-8.41647,-0.0704189,-0.578677,0.630814,-2.09221,-0.0171419,0.228806,-0.326455,0.252075,-0.0338037,0.135767,-0.119468,0.000298238,-0.0538918,0.1292,-0.214521,0.347315,-0.0644445,0.101936,-0.0708973,-5.14337e-05,-0.742956,-0.371642,1.5536,-0.28652,0.303182,0.161304,0.939039,0.377712,-0.54849,-0.275948,0.453231,-0.190463,0.962208,0.143824,1.76457,0.809071,
-0.0201886,-0.0125648,-0.0243965,0,0,-1,-0,-0,-0,0.0742791,-0.590129,0.58891,-1.01482,-0.0772511,-0.565427,0.595791,8.07331,0.0726985,-0.599862,0.627107,-8.41118,-0.0713966,-0.577459,0.630246,-2.09221,-0.00911324,0.161479,-0.241696,0.280836,-0.0235539,0.0731243,-0.0294291,-0.000882778,-0.0496845,0.0984385,-0.15282,0.296864,-0.0556184,0.0516429,-0.0018311,0.000181447,-0.689221,-0.32752,1.53482,-0.129642,0.314128,0.0947905,0.990013,0.301031,-0.503208,-0.263316,0.557608,-0.203713,0.865232,0.134083,1.66929,0.826286,
-0.0183875,-0.0278387,-0.0216159,0,0,-1,-0,-0,-0,0.0740225,-0.588943,0.587685,-1.0107,-0.0776819,-0.564852,0.596572,8.0735,0.0716721,-0.598143,0.624843,-8.40612,-0.0724823,-0.577026,0.631154,-2.09221,-0.0137597,0.0615782,-0.121628,0.341494,-0.0163125,-0.0638305,0.205394,-0.000285397,-0.0441397,0.0712636,-0.0651367,0.169858,-0.043902,-0.00702825,0.0848865,-0.000238391,-0.633162,-0.256953,1.50462,0.032548,0.326828,0.0312637,1.03782,0.217812,-0.472074,-0.247985,0.665593,-0.205196,0.774907,0.122834,1.56416,0.819851,
-0.0217919,-0.0458445,-0.0146336,0,0,-1,-0,-0,-0,0.0738118,-0.589765,0.588786,-1.00484,-0.0779282,-0.565981,0.599853,8.07415,0.0708725,-0.596813,0.624361,-8.40426,-0.073233,-0.577672,0.633669,-2.09216,-0.00492264,-0.0339388,0.210633,0.408116,-0.00411169,-0.122922,0.145115,0.0660737,-0.0311804,0.0559193,0.0138699,0.0115928,-0.024487,-0.0525799,0.155704,0.00554819,-0.583156,-0.183359,1.4618,0.187543,0.353231,-0.0212179,1.05787,0.137795,-0.449128,-0.241298,0.761968,-0.194906,0.692072,0.110789,1.45033,0.789834,
-0.0253357,-0.0597595,-0.00550866,0,0,-1,-0,-0,-0,0.0736872,-0.59229,0.591775,-0.997617,-0.0778842,-0.568672,0.605442,8.07475,0.0703977,-0.596327,0.62541,-8.40341,-0.0735165,-0.579289,0.63763,-2.0917,-0.00795222,-0.107438,0.0754119,0.436863,0.00587491,-0.204173,0.417208,0.000577652,-0.0181444,-0.0578389,0.17178,0.00054273,-0.00899822,-0.0397362,0.336278,0.135165,-0.547492,-0.109199,1.39764,0.313067,0.379775,-0.0632578,1.07866,0.067884,-0.454164,-0.237313,0.835608,-0.160837,0.633836,0.0892287,1.35041,0.736695,
-0.0173972,-0.0596517,0.000475827,0,0,-1,-0,-0,-0,0.0735161,-0.595894,0.596091,-0.990225,-0.0777776,-0.572277,0.612226,8.07553,0.0701533,-0.59709,0.627402,-8.40153,-0.073498,-0.581596,0.642479,-2.09007,-0.0122601,-0.233819,0.132762,0.286798,0.00110785,-0.162725,0.284478,0.0783818,-0.0139361,-0.102912,0.121829,0.0883276,0.00475119,-0.157369,0.16802,0.127014,-0.524103,-0.0628211,1.36868,0.383262,0.419497,-0.093303,1.05331,0.0183471,-0.472857,-0.229329,0.886713,-0.15267,0.600475,0.0608729,1.24957,0.663211,
-0.00701476,-0.0503407,0.00370747,0,0,-1,-0,-0,-0,0.0730615,-0.600154,0.601254,-0.983387,-0.0778509,-0.576711,0.62009,8.07634,0.0697694,-0.598565,0.630471,-8.39972,-0.0735439,-0.584555,0.64772,-2.08804,-0.0296725,-0.159004,0.167699,0.31514,-0.00979238,-0.244366,0.43591,-0.00094482,-0.026662,-0.088562,0.262221,-0.000863353,-0.0104367,-0.118246,0.18917,0.117853,-0.512992,-0.00452688,1.33928,0.429956,0.438538,-0.101842,1.05443,-0.0010166,-0.506328,-0.219112,0.93514,-0.129434,0.599097,0.0452961,1.2151,0.598315,
4.73212e-05,-0.035483,0.00522029,0,0,-1,-0,-0,-0,0.0723533,-0.604054,0.60662,-0.979392,-0.0781507,-0.581237,0.627488,8.0771,0.0692213,-0.600697,0.633925,-8.3985,-0.0737265,-0.587747,0.653114,-2.08669,-0.0392898,-0.215672,0.340849,0.0857269,-0.0172767,-0.24191,0.2856,0.0689167,-0.0314639,-0.10451,0.181064,0.0250956,-0.00790134,-0.126634,0.326715,0.0136646,-0.515495,0.00431693,1.31056,0.427574,0.466241,-0.097919,1.02484,0.00291094,-0.528924,-0.226194,0.931723,-0.120971,0.602536,0.0271795,1.16943,0.534353,
0.00125198,-0.020998,0.00690834,0,0,-1,-0,-0,-0,0.0714938,-0.607501,0.611594,-0.977429,-0.0786227,-0.585529,0.634324,8.07775,0.0685033,-0.602996,0.637801,-8.39811,-0.0740442,-0.590979,0.658516,-2.08596,-0.0408932,-0.100027,0.0898004,0.0461471,-0.0229584,-0.219144,0.238162,-0.000835107,-0.0331223,-0.117588,0.174722,0.00555073,-0.0210205,-0.125007,0.176487,0.0591287,-0.529977,0.0156217,1.28,0.418671,0.475961,-0.073638,1.01351,0.0390459,-0.558391,-0.222655,0.919631,-0.0992128,0.634487,0.0160345,1.15129,0.501876,
0.00114309,-0.00954416,0.00791935,0,0,-1,-0,-0,-0,0.0705739,-0.610522,0.615609,-0.976046,-0.0791565,-0.589178,0.639943,8.07829,0.0678409,-0.605505,0.641256,-8.39798,-0.0743403,-0.594017,0.663113,-2.08539,-0.0435569,-0.0826903,0.0383194,0.156775,-0.0290405,-0.139904,0.17978,0.0482019,-0.0309527,-0.114232,0.152412,-4.07921e-05,-0.00737243,-0.169743,0.268475,0.000206593,-0.544946,-0.00715599,1.29664,0.367349,0.482486,-0.056314,1.00509,0.0745427,-0.583722,-0.225053,0.898797,-0.0918517,0.668614,0.00819474,1.1619,0.458852,
