joint_tau_cal_0,joint_tau_cal_1,joint_tau_cal_2,joint_tau_cal_3,joint_tau_cal_4,joint_tau_cal_5,joint_tau_cal_6,joint_tau_cal_7,joint_tau_cal_8,joint_tau_cal_9,joint_tau_cal_10,joint_tau_cal_11,joint_tau_cal_12,joint_tau_cal_13,joint_tau_cal_14,joint_tau_cal_15,joint_tau_est_0,joint_tau_est_1,joint_tau_est_2,joint_tau_est_3,joint_tau_est_4,joint_tau_est_5,joint_tau_est_6,joint_tau_est_7,joint_tau_est_8,joint_tau_est_9,joint_tau_est_10,joint_tau_est_11,joint_tau_est_12,joint_tau_est_13,joint_tau_est_14,joint_tau_est_15,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_8,joint_pos_9,joint_pos_10,joint_pos_12,joint_pos_13,joint_pos_14,joint_pos_target_0,joint_pos_target_1,joint_pos_target_2,joint_pos_target_4,joint_pos_target_5,joint_pos_target_6,joint_pos_target_8,joint_pos_target_9,joint_pos_target_10,joint_pos_target_12,joint_pos_target_13,joint_pos_target_14,joint_vel_3,joint_vel_7,joint_vel_11,joint_vel_15,joint_vel_target_3,joint_vel_target_7,joint_vel_target_11,joint_vel_target_15,
-12.424,6.68614,34.4823,-0.269811,12.6912,6.54628,33.4009,-0.340012,-5.53068,-8.41191,-34.9244,0.250007,5.79505,-8.02303,-34.335,0.393432,-12.3666,6.66982,34.4751,-0.274959,12.6404,6.52903,33.3913,-0.339277,-5.50558,-8.38984,-34.9274,0.247471,5.77364,-8.00658,-34.3264,0.405795,0.145857,0.758004,-1.71921,-0.14663,0.761931,-1.71387,0.0652337,-0.748148,1.72631,-0.0656669,-0.754765,1.72299,0.114521,0.771192,-1.63064,-0.114781,0.774184,-1.62783,0.0511661,-0.766473,1.63652,-0.0512329,-0.771109,1.63462,0.134905,0.170006,-0.125003,-0.196716,0,0,0,0,
-12.6856,6.86487,34.3273,-0.215878,12.9264,6.73944,33.2681,-0.285917,-5.63944,-8.55236,-34.8103,0.192364,5.9085,-8.20329,-34.2102,0.355244,-12.629,6.85163,34.3174,-0.219291,12.8751,6.72178,33.2603,-0.278713,-5.61333,-8.54114,-34.7874,0.195288,5.88604,-8.18747,-34.2006,0.358206,0.145817,0.757488,-1.71883,-0.146604,0.761329,-1.71347,0.0652009,-0.747772,1.72596,-0.0656718,-0.754222,1.72258,0.11383,0.771278,-1.63028,-0.114089,0.774252,-1.62748,0.0508575,-0.766587,1.63612,-0.0509239,-0.771195,1.63424,0.107939,0.142958,-0.0961822,-0.177622,0,0,0,0,
-12.9595,7.02157,34.1814,-0.162958,13.1518,6.90738,33.1559,-0.226829,-5.77671,-8.49409,-35.1721,0.174333,6.01628,-8.36817,-34.1099,0.295253,-12.8955,7.01097,34.1725,-0.167919,13.1083,6.89375,33.1479,-0.239676,-5.72823,-8.64716,-34.748,0.157677,5.9963,-8.35211,-34.0962,0.299015,0.145777,0.756996,-1.71839,-0.146569,0.760757,-1.71303,0.0651676,-0.747419,1.72557,-0.0656731,-0.753708,1.72215,0.11314,0.771364,-1.62992,-0.113397,0.77432,-1.62714,0.0505489,-0.766701,1.63572,-0.0506149,-0.771281,1.63385,0.081479,0.113415,-0.0871667,-0.147627,0,0,0,0,
-13.2008,7.17687,34.0485,-0.115563,13.4163,7.05519,33.0775,-0.178679,-5.85281,-8.7978,-34.6224,0.107951,6.14622,-8.51344,-34.0196,0.265688,-13.1463,7.16034,34.0356,-0.117562,13.3624,7.04476,33.0614,-0.191976,-5.83893,-8.75319,-34.6935,0.114288,6.11994,-8.49737,-34.0103,0.265619,0.145737,0.756531,-1.71792,-0.146527,0.760219,-1.71257,0.0651344,-0.74709,1.72515,-0.065672,-0.753222,1.72168,0.112449,0.771449,-1.62955,-0.112704,0.774387,-1.6268,0.0502403,-0.766815,1.63533,-0.0503059,-0.771367,1.63347,0.0577814,0.0893393,-0.0539754,-0.132844,0,0,0,0,
-13.4722,7.30047,33.9365,-0.0732945,13.6495,7.19173,33.0013,-0.148885,-5.96958,-8.8904,-34.5694,0.0736431,6.25295,-8.64667,-33.955,0.22547,-13.4149,7.29044,33.9224,-0.0762636,13.5985,7.17927,32.9883,-0.142235,-5.94255,-8.90293,-34.4957,0.070814,6.23062,-8.63313,-33.9369,0.217992,0.145697,0.756095,-1.71742,-0.146479,0.759717,-1.7121,0.0650986,-0.746773,1.72467,-0.0656686,-0.752768,1.7212,0.111758,0.771535,-1.62919,-0.112012,0.774455,-1.62645,0.0499317,-0.766929,1.63493,-0.0499969,-0.771454,1.63308,0.0366473,0.0744424,-0.0368215,-0.112735,0,0,0,0,
-13.7257,7.41753,33.8343,-0.0320953,13.9054,7.30444,32.9544,-0.110543,-6.07537,-8.99962,-34.4629,0.0312965,6.37631,-8.76221,-33.9056,0.192347,-13.6736,7.40423,33.8187,-0.0362566,13.8538,7.2955,32.9319,-0.110892,-6.06125,-8.95752,-34.5266,0.0427644,6.35119,-8.74841,-33.8905,0.188943,0.145658,0.75569,-1.7169,-0.146426,0.759251,-1.71163,0.0650663,-0.746495,1.72422,-0.0656626,-0.752346,1.72072,0.111067,0.771621,-1.62883,-0.11132,0.774523,-1.62611,0.0496231,-0.767044,1.63453,-0.0496879,-0.77154,1.6327,0.0160476,0.0552716,-0.0156482,-0.0961737,0,0,0,0,
-14.0076,7.50824,33.7488,0.00310942,14.1337,7.40815,32.9088,-0.0792791,-6.21755,-8.918,-34.8111,0.030801,6.47926,-8.87186,-33.8744,0.161325,-13.9448,7.50306,33.7336,-0.00242591,14.0929,7.39937,32.8905,-0.0823682,-6.16975,-9.06657,-34.3979,0.00370082,6.46076,-8.85968,-33.8545,0.158298,0.14562,0.755316,-1.71638,-0.146371,0.758821,-1.71116,0.065033,-0.746232,1.72372,-0.0656544,-0.751956,1.72023,0.110377,0.771706,-1.62847,-0.110627,0.77459,-1.62576,0.0493145,-0.767158,1.63414,-0.0493789,-0.771626,1.63231,-0.00155471,0.0396395,-0.0154005,-0.0806625,0,0,0,0,
-14.2587,7.60305,33.6754,0.0352131,14.399,7.49951,32.889,-0.0478968,-6.30427,-9.17198,-34.3128,-0.0275508,6.60236,-8.9703,-33.8537,0.128004,-14.2015,7.5922,33.6592,0.0313581,14.3472,7.48843,32.8718,-0.0503569,-6.27875,-9.1594,-34.2972,-0.0222829,6.5798,-8.95862,-33.8362,0.136637,0.145583,0.754974,-1.71585,-0.146314,0.758427,-1.7107,0.0650021,-0.745997,1.72323,-0.0656443,-0.751596,1.71975,0.109686,0.771792,-1.62811,-0.109935,0.774658,-1.62542,0.0490059,-0.767272,1.63374,-0.0490699,-0.771712,1.63193,-0.0176065,0.0239484,0.0137754,-0.064002,0,0,0,0,
-14.5273,7.67081,33.6283,0.0605868,14.6486,7.57932,32.8794,-0.0186243,-6.45331,-9.13038,-34.5669,-0.0309835,6.71295,-9.05109,-33.8648,0.107609,-14.4868,7.65739,33.6109,0.0593622,14.5828,7.5699,32.8539,-0.01571,-6.4461,-8.98112,-34.8828,-0.0117927,6.68287,-9.04443,-33.8425,0.108454,0.14555,0.754684,-1.71535,-0.146258,0.75809,-1.71027,0.0649762,-0.745807,1.72279,-0.0656324,-0.751287,1.71931,0.108995,0.771878,-1.62775,-0.109243,0.774726,-1.62508,0.0486973,-0.767386,1.63335,-0.0487609,-0.771798,1.63154,-0.0302934,0.00931217,0.0154917,-0.0538046,0,0,0,0,
-14.7942,7.74003,33.5728,0.0910907,14.8974,7.64839,32.8753,-0.000466135,-6.54535,-9.26428,-34.3307,-0.0673564,6.82514,-9.13796,-33.8662,0.0834382,-14.7392,7.73284,33.5521,0.0894254,14.8487,7.63876,32.8552,0.00896582,-6.51852,-9.27811,-34.2513,-0.0731831,6.8037,-9.12656,-33.843,0.0911368,0.145515,0.754401,-1.71482,-0.146199,0.757762,-1.70983,0.0649474,-0.745612,1.72228,-0.0656187,-0.750983,1.71885,0.108305,0.771963,-1.62739,-0.108551,0.774793,-1.62473,0.0483887,-0.7675,1.63295,-0.0484519,-0.771885,1.63116,-0.0455454,0.000233067,0.0336782,-0.0417191,0,0,0,0,
